Entity,Code_x,Year_x,"GDP per capita, PPP (constant 2017 international $)",Population (historical),Continent,Code_y,Year_y,"Share of population aged 15+ illiterate, 1820-2020","Share of population aged 15+ literate, 1820-2020",Birth_Rate,Unemployment_Rate
Albania,ALB,2022,15492.067,2827615.0,,ALB,2022,1.5,98.5,11.78,12.33
Angola,AGO,2022,5906.1157,35635028.0,,AGO,2022,27.599998,72.4,40.73,6.89
Benin,BEN,2022,3435.1716,13759507.0,,BEN,2022,52.9,47.1,36.22,2.23
Bosnia and Herzegovina,BIH,2022,16737.227,3204805.0,,BIH,2022,1.699997,98.3,8.11,18.42
Brazil,BRA,2022,15093.465,210306411.0,,BRA,2022,5.3099976,94.69,13.92,12.08
Burkina Faso,BFA,2022,2158.8584,22509037.0,,BFA,2022,65.509995,34.49,37.93,6.26
Burundi,BDI,2022,708.1783,13321101.0,,BDI,2022,24.46,75.54,39.01,1.43
Cambodia,KHM,2022,4533.8643,17201717.0,,KHM,2022,16.220001,83.78,22.46,0.68
Cape Verde,CPV,2022,7379.2476,519750.0,,CPV,2022,9.0,91.0,19.49,12.25
Chad,TCD,2022,1412.6708,18455319.0,,TCD,2022,72.72,27.28,42.17,1.89
Chile,CHL,2022,25886.121,19553032.0,,CHL,2022,2.8399963,97.16,12.43,7.09
Comoros,COM,2022,3245.7688,834192.0,,COM,2022,38.29,61.71,31.88,4.34
Democratic Republic of Congo,COD,2022,1132.6542,102396974.0,,COD,2022,19.46,80.54,,
Dominican Republic,DOM,2022,19338.016,11230734.0,,DOM,2022,4.5,95.5,19.51,5.84
Ecuador,ECU,2022,10859.218,17823900.0,,ECU,2022,6.05188,93.94812,19.72,3.97
Egypt,EGY,2022,12780.76,112618251.0,,EGY,2022,25.5,74.5,26.38,10.76
Europe and Central Asia (WB),,2022,36711.48,,,,2022,1.4589386,98.54106,,
Gabon,GAB,2022,13939.787,2430752.0,,GAB,2022,14.309998,85.69,31.61,20.0
Gambia,GMB,2022,2113.6147,2636473.0,,GMB,2022,41.33,58.67,,
Georgia,GEO,2022,17078.342,3794783.0,,GEO,2022,0.42501068,99.57499,13.47,14.4
Guatemala,GTM,2022,9162.053,17847877.0,,GTM,2022,15.730003,84.27,24.56,2.46
Guinea-Bissau,GNB,2022,1855.1119,2105537.0,,GNB,2022,46.1,53.9,,
Guyana,GUY,2022,35634.688,821636.0,,GUY,2022,9.970001,90.03,19.97,11.85
India,IND,2022,7112.0396,1425423212.0,,IND,2022,23.677223,76.32278,17.86,5.36
Iran,IRN,2022,15461.079,89524247.0,,IRN,2022,11.040001,88.96,18.78,11.38
Kenya,KEN,2022,4881.5317,54252456.0,,KEN,2022,17.120003,82.88,28.75,2.64
Laos,LAO,2022,7947.6587,7559007.0,,LAO,2022,12.480003,87.52,23.55,0.63
Latin America and Caribbean (WB),,2022,16484.42,,,,2022,5.3998795,94.60012,,
Lesotho,LSO,2022,2240.3394,2286112.0,,LSO,2022,17.989998,82.01,26.81,23.41
Low-income countries,,2022,1949.1239,716865805.0,,,2022,38.12938,61.87062,,
Lower-middle-income countries,,2022,7137.511,3216231214.0,,,2022,22.204369,77.79563,,
Madagascar,MDG,2022,1502.4822,30437263.0,,MDG,2022,22.519997,77.48,32.66,1.76
Malawi,MWI,2022,1466.8794,20568731.0,,MWI,2022,31.919998,68.08,34.12,5.65
Middle East and North Africa (WB),,2022,16772.773,,,,2022,19.64241,80.35759,,
Morocco,MAR,2022,8083.365,37329069.0,,MAR,2022,22.650002,77.35,18.94,9.02
Niger,NER,2022,1274.6417,25311977.0,,NER,2022,61.9,38.1,46.08,0.47
North America (WB),,2022,63023.21,,,,2022,1.2593307,98.74067,,
Oman,OMN,2022,35336.895,4730227.0,,OMN,2022,2.660942,97.33906,19.19,2.67
Sao Tome and Principe,STP,2022,3438.8599,226313.0,,STP,2022,6.25,93.75,,
Senegal,SEN,2022,3564.6282,17651099.0,,SEN,2022,42.33,57.67,34.52,6.6
Sierra Leone,SLE,2022,1634.7638,8276808.0,,SLE,2022,51.36,48.64,33.41,4.43
Somalia,SOM,2022,1448.5568,17801893.0,,SOM,2022,58.975,41.025,41.75,11.35
South Asia (WB),,2022,6719.767,,,,2022,25.81224,74.18776,,
Sub-Saharan Africa (WB),,2022,3767.1772,,,,2022,32.28499,67.71501,,
Tanzania,TZA,2022,2623.8616,64711821.0,,TZA,2022,17.980003,82.02,36.7,1.98
Tunisia,TUN,2022,10569.051,12119336.0,,TUN,2022,16.440002,83.56,17.56,16.02
Uganda,UGA,2022,2280.0737,47312718.0,,UGA,2022,19.410004,80.59,38.14,1.84
United Arab Emirates,ARE,2022,74917.67,10242085.0,,ARE,2022,1.714592,98.28541,10.33,2.35
Upper-middle-income countries,,2022,18129.36,2833258826.0,,,2022,4.044029,95.95597,,
Uzbekistan,UZB,2022,8073.2104,34938955.0,,UZB,2022,2.2888184e-05,99.99998,23.3,5.92
World,OWID_WRL,2022,17527.19,8021407170.0,,OWID_WRL,2022,12.988251,87.01175,,
Zimbabwe,ZWE,2022,2207.957,16069061.0,,ZWE,2022,10.150002,89.85,30.68,4.95
