Entity,Code,Year,Individuals using the Internet (% of population)
High-income countries,,1990,0.25
High-income countries,,1991,0.41
High-income countries,,1992,0.65
High-income countries,,1993,0.93
High-income countries,,1994,1.88
High-income countries,,1995,3.53
High-income countries,,1996,6.49
High-income countries,,1997,10.25
High-income countries,,1998,15.43
High-income countries,,1999,22.29
High-income countries,,2000,29.9
High-income countries,,2001,35.86
High-income countries,,2002,44.15
High-income countries,,2003,48.83
High-income countries,,2004,54.04
High-income countries,,2005,57.81
High-income countries,,2006,60.56
High-income countries,,2007,65.92
High-income countries,,2008,68.08
High-income countries,,2009,69.39
High-income countries,,2010,71.5
High-income countries,,2011,72.04
High-income countries,,2012,74.8
High-income countries,,2013,76.2
High-income countries,,2014,77.9
High-income countries,,2015,79.37
High-income countries,,2016,83.73
High-income countries,,2017,85.32
High-income countries,,2018,86.92
High-income countries,,2019,88.25
High-income countries,,2020,89.44
High-income countries,,2021,90.17
Low-income countries,,1990,0.0
Low-income countries,,1991,0.0
Low-income countries,,1992,0.0
Low-income countries,,1993,0.0
Low-income countries,,1994,0.0
Low-income countries,,1995,0.0
Low-income countries,,1996,0.0
Low-income countries,,1997,0.01
Low-income countries,,1998,0.02
Low-income countries,,1999,0.05
Low-income countries,,2000,0.08
Low-income countries,,2001,0.12
Low-income countries,,2002,0.29
Low-income countries,,2003,0.42
Low-income countries,,2004,0.58
Low-income countries,,2005,0.86
Low-income countries,,2006,1.13
Low-income countries,,2007,2.14
Low-income countries,,2008,2.12
Low-income countries,,2009,2.78
Low-income countries,,2010,3.43
Low-income countries,,2011,3.91
Low-income countries,,2012,4.75
Low-income countries,,2013,5.5
Low-income countries,,2014,7.12
Low-income countries,,2015,9.07
Low-income countries,,2016,10.86
Low-income countries,,2017,12.54
Low-income countries,,2018,14.16
Low-income countries,,2019,16.06
Low-income countries,,2020,18.75
Low-income countries,,2021,19.99
World,OWID_WRL,1990,0.05
World,OWID_WRL,1991,0.08
World,OWID_WRL,1992,0.13
World,OWID_WRL,1993,0.18
World,OWID_WRL,1994,0.36
World,OWID_WRL,1995,0.68
World,OWID_WRL,1996,1.33
World,OWID_WRL,1997,2.04
World,OWID_WRL,1998,3.14
World,OWID_WRL,1999,4.63
World,OWID_WRL,2000,6.74
World,OWID_WRL,2001,8.05
World,OWID_WRL,2002,10.52
World,OWID_WRL,2003,12.2
World,OWID_WRL,2004,14.08
World,OWID_WRL,2005,15.67
World,OWID_WRL,2006,17.43
World,OWID_WRL,2007,20.35
World,OWID_WRL,2008,23.01
World,OWID_WRL,2009,25.56
World,OWID_WRL,2010,28.8
World,OWID_WRL,2011,31.21
World,OWID_WRL,2012,33.71
World,OWID_WRL,2013,35.65
World,OWID_WRL,2014,37.88
World,OWID_WRL,2015,40.27
World,OWID_WRL,2016,43.22
World,OWID_WRL,2017,45.54
World,OWID_WRL,2018,49.16
World,OWID_WRL,2019,53.75
World,OWID_WRL,2020,59.57
World,OWID_WRL,2021,63.07
