Entity,Code_x,Year,"Youth literacy rate, population 15-24 years, female (%), LR.AG15T24.F","Youth literacy rate, population 15-24 years, male (%), LR.AG15T24.M",Average Youth Literacy Rate,Combined Youth Literacy Rate (%)
Afghanistan,AFG,1979,11.1428,45.79602,28.46941,28.46941
Afghanistan,AFG,2011,32.11322,61.87907,46.996145,46.996145
Afghanistan,AFG,2015,28.97,80.4,54.685,54.685
Afghanistan,AFG,2021,41.59372,71.24394,56.41883,56.41883
Albania,ALB,2001,99.49808,99.36846,99.43327,99.43327
Albania,ALB,2008,99.12132,98.53712,98.82921999999999,98.82921999999999
Albania,ALB,2009,96.61,94.82,95.715,95.715
Albania,ALB,2011,98.85624,98.73136,98.7938,98.7938
Albania,ALB,2012,99.02019,99.37598,99.19808499999999,99.19808499999999
Albania,ALB,2017,99.6,99.56,99.58,99.58
Albania,ALB,2022,99.9,99.1,99.5,99.5
Algeria,DZA,1987,62.21148,86.23009,74.220785,74.220785
Algeria,DZA,2002,86.13399,94.05754,90.095765,90.095765
Algeria,DZA,2006,89.13824,94.38148,91.75986,91.75986
Algeria,DZA,2008,91.73993,95.74706,93.743495,93.743495
Algeria,DZA,2018,97.25216,97.59406,97.42311000000001,97.42311000000001
Algeria,DZA,2019,84.16,64.79,74.475,74.475
American Samoa,ASM,1980,97.44365,97.88862,97.666135,97.666135
Angola,AGO,2001,63.18212,83.77693,73.479525,73.479525
Angola,AGO,2014,70.58513,84.86238,77.72375500000001,77.72375500000001
Angola,AGO,2022,80.7,85.9,83.30000000000001,83.30000000000001
Anguilla,AIA,1984,99.10314,99.12409,99.113615,99.113615
Anguilla,AIA,1994,99.10314,99.12409,99.113615,99.113615
Argentina,ARG,1980,97.30248,96.45922,96.88085000000001,96.88085000000001
Argentina,ARG,1991,98.54021,98.06549,98.30285,98.30285
Argentina,ARG,2001,99.12767,98.7079,98.917785,98.917785
Armenia,ARM,1989,99.91057,99.90937,99.90997,99.90997
Armenia,ARM,2000,100.0,100.0,100.0,100.0
Armenia,ARM,2001,99.86167,99.75235,99.80701,99.80701
Armenia,ARM,2011,99.87619,99.81842,99.847305,99.847305
Armenia,ARM,2016,99.87619,99.81842,99.847305,99.847305
Armenia,ARM,2017,99.87416,99.82128,99.84772000000001,99.84772000000001
Armenia,ARM,2020,99.89736,99.85206,99.87471,99.87471
Aruba,ABW,2000,99.16637,98.88176,99.02406500000001,99.02406500000001
Aruba,ABW,2010,99.3231,98.96573,99.144415,99.144415
Aruba,ABW,2020,99.41,99.63,99.52,99.52
Azerbaijan,AZE,1999,99.90149,99.87034,99.885915,99.885915
Azerbaijan,AZE,2006,100.0,100.0,100.0,100.0
Azerbaijan,AZE,2007,99.98897,99.98931,99.98913999999999,99.98913999999999
Azerbaijan,AZE,2009,99.94579,99.95678,99.951285,99.951285
Azerbaijan,AZE,2010,99.93333,99.96745,99.95039,99.95039
Azerbaijan,AZE,2011,99.93176,99.95603,99.943895,99.943895
Azerbaijan,AZE,2012,99.91767,99.955,99.936335,99.936335
Azerbaijan,AZE,2013,99.9267,99.97687,99.951785,99.951785
Azerbaijan,AZE,2014,99.93638,99.97624,99.95631,99.95631
Azerbaijan,AZE,2015,99.92011,99.96367,99.94189,99.94189
Azerbaijan,AZE,2016,99.91648,99.96238,99.93943,99.93943
Azerbaijan,AZE,2017,99.91311,99.96065,99.93688,99.93688
Azerbaijan,AZE,2019,99.90619,99.95867,99.93243,99.93243
Azerbaijan,AZE,2023,99.87597,99.87576,99.875865,99.875865
Bahrain,BHR,1981,82.07742,89.69038,85.88390000000001,85.88390000000001
Bahrain,BHR,1991,96.57877,97.25867,96.91872000000001,96.91872000000001
Bahrain,BHR,2001,97.25061,96.82708,97.038845,97.038845
Bahrain,BHR,2011,100.0,100.0,100.0,100.0
Bahrain,BHR,2022,98.95499,99.382,99.16849500000001,99.16849500000001
Bangladesh,BGD,1981,27.15101,44.36216,35.756585,35.756585
Bangladesh,BGD,1991,37.98975,51.73673,44.863240000000005,44.863240000000005
Bangladesh,BGD,2000,100.0,100.0,100.0,100.0
Bangladesh,BGD,2001,60.25623,67.16381,63.71002,63.71002
Bangladesh,BGD,2007,67.48857,54.27433,60.88145,60.88145
Bangladesh,BGD,2011,79.54449,76.4034,77.973945,77.973945
Bangladesh,BGD,2012,79.3692,76.27631,77.822755,77.822755
Bangladesh,BGD,2013,86.92579,84.0945,85.510145,85.510145
Bangladesh,BGD,2014,86.48067,84.62868,85.554675,85.554675
Bangladesh,BGD,2015,89.53506,86.18795,87.861505,87.861505
Bangladesh,BGD,2016,93.53532,90.90535,92.220335,92.220335
Bangladesh,BGD,2017,94.37776,91.54129,92.959525,92.959525
Bangladesh,BGD,2018,94.91259,91.80372,93.358155,93.358155
Bangladesh,BGD,2019,96.08776,93.7047,94.89623,94.89623
Bangladesh,BGD,2020,95.85875,93.16417,94.51146,94.51146
Bangladesh,BGD,2021,95.86286,93.76295,94.812905,94.812905
Barbados,BRB,1970,99.8,99.72039,99.760195,99.760195
Barbados,BRB,1980,99.9,99.9,99.9,99.9
Barbados,BRB,2012,100.0,100.0,100.0,100.0
Belarus,BLR,1989,99.80054,99.73198,99.76625999999999,99.76625999999999
Belarus,BLR,1999,99.82821,99.75687,99.79254,99.79254
Belarus,BLR,2009,99.84739,99.80033,99.82386,99.82386
Belarus,BLR,2012,100.0,100.0,100.0,100.0
Belarus,BLR,2019,99.89983,99.84713,99.87348,99.87348
Belize,BLZ,1991,78.01632,77.26169,77.639005,77.639005
Belize,BLZ,2001,88.3,86.2,87.25,87.25
Benin,BEN,1979,18.25518,45.71064,31.982909999999997,31.982909999999997
Benin,BEN,1992,26.69029,55.13022,40.910255,40.910255
Benin,BEN,2001,31.85,61.08,46.465,46.465
Benin,BEN,2002,33.238,59.20508,46.221540000000005,46.221540000000005
Benin,BEN,2006,30.78655,54.86694,42.826745,42.826745
Benin,BEN,2012,40.93838,63.94092,52.43965,52.43965
Benin,BEN,2022,59.1,73.6,66.35,66.35
Bhutan,BTN,2005,67.96426,80.04192,74.00309,74.00309
Bhutan,BTN,2012,82.17904,90.39581,86.287425,86.287425
Bhutan,BTN,2017,92.89112,93.27016,93.08064,93.08064
Bhutan,BTN,2022,98.0,98.0,98.0,98.0
Bolivia,BOL,1976,75.84014,91.46814,83.65414000000001,83.65414000000001
Bolivia,BOL,1992,91.56598,96.31841,93.942195,93.942195
Bolivia,BOL,2000,96.3,98.44,97.37,97.37
Bolivia,BOL,2001,96.53,98.22,97.375,97.375
Bolivia,BOL,2002,97.08,99.09,98.08500000000001,98.08500000000001
Bolivia,BOL,2003,96.67,99.47,98.07,98.07
Bolivia,BOL,2004,98.63,99.57,99.1,99.1
Bolivia,BOL,2005,98.44,99.27,98.85499999999999,98.85499999999999
Bolivia,BOL,2006,97.39,99.44,98.41499999999999,98.41499999999999
Bolivia,BOL,2007,99.14,99.75,99.445,99.445
Bolivia,BOL,2008,98.98,99.39,99.185,99.185
Bolivia,BOL,2009,99.08,99.69,99.38499999999999,99.38499999999999
Bolivia,BOL,2011,98.75,99.27,99.00999999999999,99.00999999999999
Bolivia,BOL,2012,99.18,99.49,99.33500000000001,99.33500000000001
Bolivia,BOL,2013,99.16,99.49,99.32499999999999,99.32499999999999
Bolivia,BOL,2014,99.21,99.68,99.445,99.445
Bolivia,BOL,2015,99.4,99.39,99.39500000000001,99.39500000000001
Bolivia,BOL,2016,99.34,99.5,99.42,99.42
Bolivia,BOL,2017,99.32,99.43,99.375,99.375
Bolivia,BOL,2018,99.42,99.72,99.57,99.57
Bolivia,BOL,2019,99.39,99.66,99.525,99.525
Bolivia,BOL,2020,99.53,99.58,99.555,99.555
Bolivia,BOL,2021,99.54,99.5,99.52000000000001,99.52000000000001
Bosnia and Herzegovina,BIH,1991,98.73546,99.28544,99.01044999999999,99.01044999999999
Bosnia and Herzegovina,BIH,2000,99.84363,99.7482,99.79591500000001,99.79591500000001
Bosnia and Herzegovina,BIH,2011,99.15044,99.75125,99.450845,99.450845
