Entity,Code,Year,Duration of compulsory education (years)
Afghanistan,AFG,2022,9
Albania,ALB,2022,9
Algeria,DZA,2022,10
Andorra,AND,2022,10
Angola,AGO,2022,6
Anguilla,AIA,2022,12
Antigua and Barbuda,ATG,2022,11
Argentina,ARG,2022,14
Armenia,ARM,2022,12
Aruba,ABW,2022,13
Australia,AUS,2022,11
Austria,AUT,2022,13
Azerbaijan,AZE,2022,10
Bahamas,BHS,2022,12
Bahrain,BHR,2022,9
Bangladesh,BGD,2022,5
Barbados,BRB,2022,11
Belarus,BLR,2022,11
Belgium,BEL,2022,12
Belize,BLZ,2022,8
Benin,BEN,2022,6
Bermuda,BMU,2022,13
Bhutan,BTN,2022,0
Bolivia,BOL,2022,14
Bosnia and Herzegovina,BIH,2022,9
Botswana,BWA,2022,0
Brazil,BRA,2022,14
British Virgin Islands,VGB,2022,12
Brunei,BRN,2022,9
Bulgaria,BGR,2022,11
Burkina Faso,BFA,2022,10
Burundi,BDI,2022,0
Cambodia,KHM,2022,0
Cameroon,CMR,2022,6
Canada,CAN,2022,10
Cape Verde,CPV,2022,10
Cayman Islands,CYM,2022,12
Central African Republic,CAF,2022,10
Chad,TCD,2022,10
Chile,CHL,2022,12
China,CHN,2022,9
Colombia,COL,2022,12
Comoros,COM,2022,6
Congo,COG,2022,10
Cook Islands,COK,2022,12
Costa Rica,CRI,2022,13
Cote d'Ivoire,CIV,2022,10
Croatia,HRV,2022,8
Cuba,CUB,2022,9
Curacao,CUW,2022,14
Cyprus,CYP,2022,10
Czechia,CZE,2022,10
Democratic Republic of Congo,COD,2022,6
Denmark,DNK,2022,10
Djibouti,DJI,2022,10
Dominica,DMA,2022,12
Dominican Republic,DOM,2022,15
East Timor,TLS,2022,9
Ecuador,ECU,2022,15
Egypt,EGY,2022,12
El Salvador,SLV,2022,15
Equatorial Guinea,GNQ,2022,6
Eritrea,ERI,2022,8
Estonia,EST,2022,9
Eswatini,SWZ,2022,7
Ethiopia,ETH,2022,8
Faroe Islands,FRO,2022,9
Fiji,FJI,2022,0
Finland,FIN,2022,12
France,FRA,2022,13
Gabon,GAB,2022,10
Gambia,GMB,2022,9
Georgia,GEO,2022,9
Germany,DEU,2022,13
Ghana,GHA,2022,11
Gibraltar,GIB,2022,12
Greece,GRC,2022,10
Greenland,GRL,2022,10
Grenada,GRD,2022,12
Guam,GUM,2022,0
Guatemala,GTM,2022,16
Guinea,GIN,2022,6
Guinea-Bissau,GNB,2022,9
Guyana,GUY,2022,6
Haiti,HTI,2022,6
Honduras,HND,2022,12
Hong Kong,HKG,2022,9
Hungary,HUN,2022,13
Iceland,ISL,2022,10
India,IND,2022,8
Indonesia,IDN,2022,9
Iran,IRN,2022,9
Iraq,IRQ,2022,6
Ireland,IRL,2022,10
Israel,ISR,2022,15
Italy,ITA,2022,12
Jamaica,JAM,2022,6
Japan,JPN,2022,9
Jordan,JOR,2022,10
Kazakhstan,KAZ,2022,9
Kenya,KEN,2022,12
Kiribati,KIR,2022,9
Kuwait,KWT,2022,9
Kyrgyzstan,KGZ,2022,10
Laos,LAO,2022,9
Latvia,LVA,2022,11
Lebanon,LBN,2022,10
Lesotho,LSO,2022,7
Liberia,LBR,2022,6
Libya,LBY,2022,9
Liechtenstein,LIE,2022,9
Lithuania,LTU,2022,11
Luxembourg,LUX,2022,12
Macao,MAC,2022,10
Madagascar,MDG,2022,5
Malawi,MWI,2022,8
Malaysia,MYS,2022,6
Maldives,MDV,2022,7
Mali,MLI,2022,9
Malta,MLT,2022,11
Marshall Islands,MHL,2022,13
Martinique,MTQ,2022,0
Mauritania,MRT,2022,9
Mauritius,MUS,2022,11
Mexico,MEX,2022,14
Micronesia (country),FSM,2022,8
Moldova,MDA,2022,10
Monaco,MCO,2022,11
Mongolia,MNG,2022,12
Montenegro,MNE,2022,9
Montserrat,MSR,2022,12
Morocco,MAR,2022,9
Mozambique,MOZ,2022,0
Myanmar,MMR,2022,5
Namibia,NAM,2022,7
Nauru,NRU,2022,14
Nepal,NPL,2022,9
Netherlands,NLD,2022,13
New Caledonia,NCL,2022,0
New Zealand,NZL,2022,10
Nicaragua,NIC,2022,7
Niger,NER,2022,0
Nigeria,NGA,2022,9
Niue,NIU,2022,11
Norfolk Island,NFK,2022,0
North Korea,PRK,2022,12
North Macedonia,MKD,2022,13
Norway,NOR,2022,10
Oman,OMN,2022,10
Pakistan,PAK,2022,12
Palau,PLW,2022,12
Palestine,PSE,2022,10
Panama,PAN,2022,11
Papua New Guinea,PNG,2022,0
Paraguay,PRY,2022,13
Peru,PER,2022,14
Philippines,PHL,2022,13
Poland,POL,2022,8
Portugal,PRT,2022,12
Puerto Rico,PRI,2022,13
Qatar,QAT,2022,12
Reunion,REU,2022,0
Romania,ROU,2022,10
Russia,RUS,2022,11
Rwanda,RWA,2022,6
Saint Helena,SHN,2022,0
Saint Kitts and Nevis,KNA,2022,12
Saint Lucia,LCA,2022,10
Saint Vincent and the Grenadines,VCT,2022,12
Samoa,WSM,2022,8
San Marino,SMR,2022,10
Sao Tome and Principe,STP,2022,6
Saudi Arabia,SAU,2022,9
Senegal,SEN,2022,11
Serbia,SRB,2022,8
Seychelles,SYC,2022,10
Sierra Leone,SLE,2022,9
Singapore,SGP,2022,6
Sint Maarten (Dutch part),SXM,2022,14
Slovakia,SVK,2022,11
Slovenia,SVN,2022,9
Solomon Islands,SLB,2022,0
Somalia,SOM,2022,8
South Africa,ZAF,2022,9
South Korea,KOR,2022,9
South Sudan,SSD,2022,8
Spain,ESP,2022,10
Sri Lanka,LKA,2022,11
Sudan,SDN,2022,8
Sudan (former),,2022,8
Suriname,SUR,2022,6
Sweden,SWE,2022,10
Switzerland,CHE,2022,11
Syria,SYR,2022,9
Tajikistan,TJK,2022,9
Tanzania,TZA,2022,7
Thailand,THA,2022,9
Togo,TGO,2022,10
Tokelau,TKL,2022,11
Tonga,TON,2022,15
Trinidad and Tobago,TTO,2022,7
Tunisia,TUN,2022,9
Turkey,TUR,2022,12
Turkmenistan,TKM,2022,12
Turks and Caicos Islands,TCA,2022,13
Tuvalu,TUV,2022,8
Uganda,UGA,2022,7
Ukraine,UKR,2022,11
United Arab Emirates,ARE,2022,12
United Kingdom,GBR,2022,11
United States,USA,2022,12
Uruguay,URY,2022,14
Uzbekistan,UZB,2022,12
Vanuatu,VUT,2022,0
Vatican,VAT,2022,0
Vietnam,VNM,2022,10
Yemen,YEM,2022,9
Zambia,ZMB,2022,7
Zimbabwe,ZWE,2022,7
