Entity,Code_x,Year,"Youth literacy rate, population 15-24 years, female (%), LR.AG15T24.F","Youth literacy rate, population 15-24 years, male (%), LR.AG15T24.M",Average Youth Literacy Rate,Combined Youth Literacy Rate (%),iso3c,gni_per_capita,learning_poverty,unicef_total_closed,internet_users,EG.ELC.ACCS.ZS,population
Afghanistan,AFG,2021,41.59,71.24,56.42,56.42,AFG,500.0,93.45,240.0,18.4,97.7,38972230.0
Albania,ALB,2022,99.9,99.1,99.5,99.5,ALB,5260.0,16.48,99.0,72.24,100.0,2837849.0
Algeria,DZA,2019,84.16,64.79,74.47,74.47,DZA,3600.0,67.9,115.0,62.9,99.8,43451666.0
Argentina,ARG,2001,99.13,98.71,98.92,98.92,ARG,9010.0,59.15,260.0,85.5,100.0,45376763.0
Armenia,ARM,2020,99.9,99.85,99.87,99.87,ARM,4470.0,27.24,53.0,76.51,100.0,2805608.0
Azerbaijan,AZE,2023,99.88,99.88,99.88,99.88,AZE,4480.0,23.28,196.0,84.6,100.0,10093121.0
Bahrain,BHR,2022,98.95,99.38,99.17,99.17,BHR,22950.0,32.09,276.0,99.67,100.0,1477469.0
Bangladesh,BGD,2021,95.86,93.76,94.81,94.81,BGD,2300.0,58.22,376.0,24.8,96.2,167420951.0
Belize,BLZ,2001,88.3,86.2,87.25,87.25,BLZ,5210.0,76.41,292.0,50.8,97.11,394921.0
Benin,BEN,2022,59.1,73.6,66.35,66.35,BEN,1230.0,55.78,48.0,25.8,41.41,12643123.0
Botswana,BWA,2013,99.14,95.75,97.45,97.45,BWA,6010.0,50.84,104.0,64.0,71.99,2546402.0
Brazil,BRA,2022,99.56,99.01,99.28,99.28,BRA,7820.0,46.9,293.0,81.34,100.0,213196304.0
Bulgaria,BGR,2021,97.83,98.27,98.05,98.05,BGR,9520.0,15.2,164.0,70.16,99.7,6934015.0
Burkina Faso,BFA,2022,51.68,55.56,53.62,53.62,BFA,750.0,73.86,64.0,22.0,18.96,21522626.0
Burundi,BDI,2022,93.16,93.97,93.56,93.56,BDI,220.0,95.82,0.0,9.4,11.74,12220227.0
Cambodia,KHM,2022,96.51,95.44,95.98,95.98,KHM,1530.0,90.0,296.0,32.9,86.4,16396860.0
Cameroon,CMR,2020,83.83,88.63,86.23,86.23,CMR,1520.0,71.93,66.0,37.8,64.72,26491087.0
Chad,TCD,2022,30.64,41.39,36.02,36.02,TCD,630.0,94.41,128.0,10.4,11.08,16644701.0
Chile,CHL,2022,99.48,99.14,99.31,99.31,CHL,12990.0,27.19,207.0,88.3,100.0,19300315.0
China,CHN,2020,99.76,99.75,99.76,99.76,CHN,10520.0,18.2,98.0,70.05,100.0,1411100000.0
Colombia,COL,2022,99.2,98.64,98.92,98.92,COL,5820.0,51.36,250.0,69.79,100.0,50930662.0
Comoros,COM,2022,83.1,80.95,82.02,82.02,COM,1520.0,86.02,160.0,8.48,86.74,806166.0
Congo,COG,2021,79.5,85.19,82.34,82.34,COG,1760.0,70.01,123.0,8.65,49.52,5702174.0
Costa Rica,CRI,2021,99.61,99.46,99.54,99.54,CRI,11520.0,34.02,314.0,80.53,99.9,5123105.0
Cote d'Ivoire,CIV,2019,76.41,92.82,84.62,84.62,CIV,2240.0,82.62,50.0,36.29,69.68,26811790.0
Croatia,HRV,2021,99.78,99.75,99.76,99.76,HRV,14820.0,4.46,45.0,78.32,100.0,4047680.0
Cyprus,CYP,2021,99.91,99.89,99.9,99.9,CYP,26600.0,9.94,100.0,90.8,100.0,1237537.0
Democratic Republic of Congo,COD,2022,85.41,90.79,88.1,88.1,COD,540.0,96.6,142.0,13.6,19.1,92853164.0
Dominican Republic,DOM,2022,98.91,98.14,98.52,98.52,DOM,7170.0,77.72,222.0,76.9,100.0,10999664.0
Ecuador,ECU,2022,96.67,96.1,96.38,96.38,ECU,5560.0,65.94,328.0,70.7,98.85,17588595.0
Egypt,EGY,2022,91.74,92.72,92.23,92.23,EGY,2860.0,69.57,91.0,71.91,100.0,107465134.0
El Salvador,SLV,2022,98.57,97.96,98.26,98.26,SLV,3740.0,69.07,336.0,54.6,100.0,6292731.0
Ethiopia,ETH,2017,71.97,73.52,72.75,72.75,ETH,880.0,90.39,209.0,24.0,51.09,117190911.0
Gabon,GAB,2022,92.63,88.66,90.64,90.64,GAB,6830.0,30.68,94.0,62.0,91.57,2292573.0
Georgia,GEO,2022,99.89,99.51,99.7,99.7,GEO,4260.0,15.29,134.0,72.53,100.0,3722716.0
Greece,GRC,2009,99.47,99.51,99.49,99.49,GRC,17960.0,7.69,138.0,78.12,100.0,10698599.0
Guatemala,GTM,2022,95.86,96.41,96.14,96.14,GTM,4490.0,78.52,298.0,49.97,97.06,16858333.0
Guinea,GIN,2021,49.09,71.33,60.21,60.21,GIN,960.0,82.67,109.0,26.0,44.67,13205153.0
Honduras,HND,2019,97.29,94.84,96.06,96.06,HND,2150.0,79.29,392.0,42.05,93.21,10121763.0
