"Global internet access rate 2005-2023, by market maturity",,,,,,,
"Percentage of global population accessing the internet from 2005 to 2023, by market maturity",,,,,,,
Year,World,Developed,Developing,Least Developed Countries (LDCs),Landlocked Developing Countries (LLDC),Small Island Developing States (SIDS),
2005,16.80,52.80,8.10,1.40,-,-,in %
2006,18.40,55.10,9.60,1.60,-,-,in %
2007,20.60,59,11.90,2,-,-,in %
2008,23.10,61.30,14.60,3.10,-,-,in %
2009,25.80,62.90,17.60,4.30,-,-,in %
2010,29.30,66.50,21.10,5.50,-,-,in %
2011,31.80,67.60,24.10,6.60,-,-,in %
2012,34.70,72,26.70,8.10,-,-,in %
2013,36.90,73.80,29.10,9.30,-,-,in %
2014,38.90,75.80,31.20,10.80,-,-,in %
2015,41.10,76.80,33.70,12.40,-,-,in %
2016,43.90,81,36.30,14.30,-,-,in %
2017,46.30,81.90,39.10,16.10,-,-,in %
2018,49,84.90,41.90,17.60,-,-,in %
2019,51.40,86.70,44.40,19.50,-,-,in %
2021,63,90,57,27,35,64,in %
2022,66,-,-,36,36,66,in %
2023,67,-,-,35,39,67,in %
